step,epoch,loss,reward,grad_norm,learning_rate,clip_ratio/high_max,clip_ratio/high_mean,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/region_mean,completions/clipped_ratio,completions/max_length,completions/max_terminated_length,completions/mean_length,completions/mean_terminated_length,completions/min_length,completions/min_terminated_length,entropy,frac_reward_zero_std,kl,num_tokens,reward_std,rewards/reward_func/mean,rewards/reward_func/std,rewards/schema_reward_func/mean,rewards/schema_reward_func/std,rewards/terminal_reward_func/mean,rewards/terminal_reward_func/std,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
22,0.011,-0.29781949520111084,0.9747113585472107,0.04974789544939995,4.737500000000001e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,88.0,683.0,88.0,88.0,88.0,0.011279257130809128,0.0,0.002162929275073111,147523.0,0.21912457048892975,0.6717306971549988,0.15273135900497437,0.16086533665657043,0.014520348981022835,0.14211533963680267,0.0590677410364151,,,,,
23,0.0115,-0.22209089994430542,1.0281773805618286,0.06826542317867279,4.7250000000000005e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,257.0,704.125,257.0,257.0,257.0,0.010416171222459525,0.0,0.0024811317853163928,155724.0,0.25641369819641113,0.7140886783599854,0.12820681929588318,0.15704433619976044,0.06410341709852219,0.15704433619976044,0.06410341709852219,,,,,
24,0.012,0.033345773816108704,1.169953465461731,0.044676490128040314,4.7125e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,309.0,650.25,297.0,285.0,285.0,0.007943126314785331,0.0,0.002373596355027985,163494.0,0.08994558453559875,0.7849767208099365,0.044972822070121765,0.19248835742473602,0.022486405447125435,0.19248835742473602,0.022486405447125435,,,,,
25,0.0125,6.747245788574219e-05,1.1883330345153809,0.05796528607606888,4.7e-06,0.0,0.0,0.0,0.0,0.0,1.0,768.0,0.0,768.0,0.0,768.0,0.0,0.006390385504346341,0.0,0.0016984863468678668,172206.0,0.11487478762865067,0.7941665649414062,0.05743740499019623,0.1970832794904709,0.028718704357743263,0.1970832794904709,0.028718704357743263,,,,,
26,0.013,0.07207537442445755,1.1819026470184326,0.037876032292842865,4.6875000000000004e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,519.0,678.0,408.0,297.0,297.0,0.006559398665558547,0.0,0.0019389777589822188,180198.0,0.16615313291549683,0.7909513711929321,0.08307657390832901,0.19547566771507263,0.041538286954164505,0.19547566771507263,0.041538286954164505,,,,,
27,0.0135,-0.014369800686836243,1.127439260482788,0.05296367406845093,4.675000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,381.0,719.625,381.0,381.0,381.0,0.007206138106994331,0.0,0.0013167984725441784,188523.0,0.0649152472615242,0.7637196779251099,0.0324576161801815,0.1818598210811615,0.01622881181538105,0.1818598210811615,0.01622881181538105,,,,,
28,0.014,7.814168930053711e-05,1.1119167804718018,0.07804486155509949,4.662500000000001e-06,0.0,0.0,0.0,0.0,0.0,1.0,768.0,0.0,768.0,0.0,768.0,0.0,0.006659523060079664,0.0,0.0019577775383368134,197235.0,0.09609100222587585,0.7559583783149719,0.04804549738764763,0.17797920107841492,0.024022746831178665,0.17797920107841492,0.024022746831178665,,,,,
29,0.0145,0.00011008977890014648,1.2228426933288574,0.0756901279091835,4.65e-06,0.0,0.0,0.0,0.0,0.0,1.0,768.0,0.0,768.0,0.0,768.0,0.0,0.0076237142202444375,0.0,0.0027590019162744284,205947.0,0.17960311472415924,0.8114213943481445,0.08980156481266022,0.20571067929267883,0.04490078240633011,0.20571067929267883,0.04490078240633011,,,,,
30,0.015,-0.15550218522548676,1.0862884521484375,0.06176208332180977,4.6375e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,439.0,674.0,392.0,345.0,345.0,0.007507403148338199,0.0,0.0022859367963974364,213907.0,0.06531373411417007,0.743144154548645,0.03265686705708504,0.17157207429409027,0.01632842980325222,0.17157207429409027,0.01632842980325222,,,,,
31,0.0155,8.172541856765747e-05,1.1550077199935913,0.055304352194070816,4.625000000000001e-06,0.0,0.0,0.0,0.0,0.0,1.0,768.0,0.0,768.0,0.0,768.0,0.0,0.005864452570676804,0.0,0.0020521127225947566,222619.0,0.07185891270637512,0.7775038480758667,0.03592947870492935,0.1887519210577011,0.017964744940400124,0.1887519210577011,0.017964744940400124,,,,,
32,0.016,0.11339498311281204,1.2103033065795898,0.047337889671325684,4.6125e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,279.0,706.875,279.0,279.0,279.0,0.007977286353707314,0.0,0.0017781385977286845,230842.0,0.12129465490579605,0.8051517009735107,0.06064733862876892,0.20257583260536194,0.03032367117702961,0.20257583260536194,0.03032367117702961,,,,,
33,0.0165,0.03291005641222,1.0920052528381348,0.10688889026641846,4.600000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,343.0,714.875,343.0,343.0,343.0,0.010978265316225588,0.0,0.003566661136574112,239129.0,0.30901971459388733,0.7460026741027832,0.15450985729694366,0.17300131916999817,0.07725492864847183,0.17300131916999817,0.07725492864847183,,,,,
34,0.017,7.772445678710938e-05,1.1052637100219727,0.0822058618068695,4.5875000000000005e-06,0.0,0.0,0.0,0.0,0.0,1.0,768.0,0.0,768.0,0.0,768.0,0.0,0.005757156701292843,0.0,0.0021747570135630667,247841.0,0.006316463928669691,0.7526319026947021,0.003158232197165489,0.17631593346595764,0.0015791213372722268,0.17631593346595764,0.0015791213372722268,,,,,
35,0.0175,-0.25400617718696594,1.096228837966919,0.05379662662744522,4.575e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,379.0,641.5,262.0,145.0,145.0,0.010748620436061174,0.0,0.005008086729503702,255541.0,0.3064878284931183,0.7418643832206726,0.16961504518985748,0.18030717968940735,0.06080209091305733,0.17405718564987183,0.07662196457386017,,,,,
36,0.018,0.07140123844146729,1.1125946044921875,0.04373275861144066,4.5625e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,381.0,719.625,381.0,381.0,381.0,0.00550397444749251,0.0,0.0013870126495021395,263866.0,0.06438316404819489,0.7562973499298096,0.032191596925258636,0.17814865708351135,0.016095798462629318,0.17814865708351135,0.016095798462629318,,,,,
37,0.0185,4.398450255393982e-05,1.135301113128662,0.04552570730447769,4.5500000000000005e-06,0.0,0.0,0.0,0.0,0.0,1.0,768.0,0.0,768.0,0.0,768.0,0.0,0.006026522605679929,0.0,0.0010785488047986291,272578.0,0.07228021323680878,0.7676504850387573,0.03614010661840439,0.18382525444030762,0.018070055171847343,0.18382525444030762,0.018070055171847343,,,,,
38,0.019,0.10662385821342468,1.177899718284607,0.05144058167934418,4.5375e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,373.0,657.5,326.0,279.0,279.0,0.007680241425987333,0.0,0.004868890697252937,280406.0,0.15815117955207825,0.7889499068260193,0.07907560467720032,0.1944749355316162,0.039537809789180756,0.1944749355316162,0.039537809789180756,,,,,
39,0.0195,7.825717329978943e-05,1.128880500793457,0.055130735039711,4.525000000000001e-06,0.0,0.0,0.0,0.0,0.0,1.0,768.0,0.0,768.0,0.0,768.0,0.0,0.007534733682405204,0.0,0.001975966377358418,289118.0,0.0961746871471405,0.7644402980804443,0.04808736965060234,0.18222013115882874,0.02404368296265602,0.18222013115882874,0.02404368296265602,,,,,
40,0.02,-0.21456190943717957,1.0552228689193726,0.0638677179813385,4.5125e-06,0.0,0.0,0.0,0.0,0.0,0.625,768.0,733.0,648.625,449.66668701171875,235.0,235.0,0.009035356575623155,0.0,0.004798867768840864,296875.0,0.26730233430862427,0.7276114225387573,0.13365115225315094,0.16380570828914642,0.06682558357715607,0.16380570828914642,0.06682558357715607,,,,,
41,0.0205,-0.2456117868423462,1.0151517391204834,0.04951556771993637,4.5e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,213.0,698.625,213.0,213.0,213.0,0.005568115506321192,0.0,0.002005358073802199,305032.0,0.24855884909629822,0.7075758576393127,0.12427941709756851,0.15378792583942413,0.062139708548784256,0.15378792583942413,0.062139708548784256,,,,,
42,0.021,-0.12613753974437714,1.1154749393463135,0.0674639642238617,4.4875e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,279.0,706.875,279.0,279.0,279.0,0.007445351278875023,0.0,0.004335895617259666,313255.0,0.03088231198489666,0.757737398147583,0.01544115599244833,0.17886871099472046,0.007720578461885452,0.17886871099472046,0.007720578461885452,,,,,
43,0.0215,0.04028859734535217,1.176898717880249,0.05999089777469635,4.475e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,349.0,715.625,349.0,349.0,349.0,0.00871053955052048,0.0,0.0019559924548957497,321548.0,0.08393649756908417,0.7884493470191956,0.041968248784542084,0.19422467052936554,0.02098412625491619,0.19422467052936554,0.02098412625491619,,,,,
44,0.022,-0.16275791823863983,1.087921380996704,0.061070919036865234,4.4625e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,389.0,656.5,322.0,255.0,255.0,0.009126087534241378,0.0,0.0038202523428481072,329368.0,0.30166155099868774,0.7439607381820679,0.15083077549934387,0.1719803512096405,0.07541538774967194,0.1719803512096405,0.07541538774967194,,,,,
